S100A8,S100A9,S100A7,KRT6A,KRT1,KRT10,KRT14,PI3,KRT16,SPRR2A,SPRR2E,DCD,MIR1977,SPRR2D,SPRR2B,DEFB4A,KRT6B,SPRR2G,KRT6C,KRTDAP,SPRR1B,KRT5,KRT2,RPLP1,CNFN,Class_label
159.9695,65.7915,286.939,465.096,9519.5025,12106.4025,5333.6055,5.1785,730.281,91.2725,393.2645,1883.1795,8322.838,92.3025,80.4835,2.274,484.895,161.4785,271.864,2803.322,213.3905,4622.734,2976.0765,2170.85,160.4835,Healthy
2233.927,2470.916,1690.29,884.151,7787.137,8509.25,9461.03,370.51,1816.326,814.361,1567.719,10047.787,6102.796,696.373,710.116,96.812,670.202,1352.037,525.745,2389.929,412.398,5724.634,2437.174,3933.56,234.374,Healthy
190.222,66.244,132.132,522.214,7068.154,7147.2,3698.281,3.003,580.336,76.508,376.366,4110.461,9183.177,81.342,70.981,0.118,611.839,137.752,282.764,2828.113,300.969,3152.319,843.478,2524.961,122.689,Healthy
62.423,41.929,54.469,455.951,6550.389,8575.869,6505.182,9.621,1136.544,130.082,508.877,3968.044,6914.246,114.388,115.477,1.963,525.772,202.274,296.181,1919.041,102.148,4136.041,3347.459,2879.228,167.269,Healthy
163.661,59.454,310.274,341.256,11145.153,14127.948,8290.751,6.454,1236.286,73.42,286.691,886.237,8306.117,60.963,65.14,0.432,617.786,118.019,413.523,2041.244,136.114,6443.721,4282.632,1971.999,194.586,Healthy
68.609,17.478,149.582,215.186,6735.853,11920.169,3489.783,7.642,553.737,38.304,278.016,1761.981,9173.792,46.411,38.412,4.081,397.292,152.506,187.866,1423.504,130.324,3205.795,2909.494,989.789,111.111,Healthy
31.09,14.645,56.249,96.064,9077.277,12197.946,7017.547,8.072,1044.321,92.381,533.808,1480.17,6693.013,105.439,93.956,0.733,267.184,148.154,185.852,2185.186,64.01,4769.906,1564.757,1789.585,133.382,Healthy
210.327,106.518,143.88,310.943,7376.294,8150.736,2976.572,20.533,449.881,51.359,208.088,1474.133,10801.381,52.149,41.236,4.941,278.889,109.66,161.6,1977.131,108.683,2337.359,945.326,1878.751,101.835,Healthy
16.777,9.527,12.978,270.246,8877.278,15292.121,4627.37,7.802,716.662,44.555,221.458,3602.203,5216.765,49.384,41.319,0.125,370.972,87.848,177.706,2295.148,112.861,4311.767,4784.249,1682.996,179.532,Healthy
16.526,8.664,27.282,305.494,9361.055,13359.252,5403.53,4.237,803.408,30.684,141.591,883.689,5982.73,35.504,28.644,0.13,398.101,77.895,207.487,2351.91,129.55,4678.551,3688.828,1889.247,206.803,Healthy
17.648,16.715,11.749,111.609,5047.175,8283.117,3382.983,3.731,523.11,31.311,174.78,1010.48,8956.263,31.82,28.467,0.456,143.845,55.515,95.3,1292.353,27.944,2731.543,2567.137,1124.712,90.314,Healthy
49.952,18.276,47.317,279.15,11444.705,12418.663,5309.329,3.487,766.626,68.113,333.476,3019.313,8346.191,72.286,62.006,0.36,395.16,117.131,202.122,2262.289,104.477,4251.808,801.79,1666.549,130.944,Healthy
28.134,12.466,10.33,125.687,10572.202,12756.259,5841.123,1.64,855.705,60.767,298.141,2449.671,8578.044,54.304,55.625,0,320.709,148.427,202.3,2534.559,51.366,4426.331,2228.708,2321.705,177.725,Healthy
151.339,55.71,141.692,325.089,5988.232,8807.799,3830.136,13.665,614.794,147.181,614.889,3315.364,7000.191,198.338,143.486,0.227,486.961,328.55,249.575,2294.528,390.133,3057.362,2514.428,1260.29,162.171,Healthy
30.098,11.396,37.119,171.021,13870.413,15637.691,5766.307,2.07,809.752,56.679,270.631,2497.557,6714.078,59.705,50.555,0.114,386.376,125.541,247.671,3248.145,167.716,4650.57,2185.117,1600.355,193.428,Healthy
81.165,22.079,45.573,380.459,6021.398,7508.98,3489.416,3.295,573.202,68.598,312.414,13525.405,7029.424,84.538,58.894,0,488.093,104.668,214.622,1833.229,238.47,2434.704,1024.349,1107.821,107.456,Healthy
23.721,5.264,12.359,221.218,9548.895,12187.599,4191.139,6.132,549.517,32.045,204.48,1578.837,7848.28,34.279,30.39,0,297.719,36.759,151.731,2612.297,107.224,3382.045,1707.433,1874.561,141.188,Healthy
7.028,4.896,6.974,123.717,11302.913,15517.335,5858.059,0.947,864.705,85.457,456.523,2188.816,7496.664,76.612,81.731,0,314.77,342.95,270.867,3036.918,97.909,5130.143,3845.001,1519.419,206.566,Healthy
94.22,52.048,54.534,434.705,7934.139,8628.857,4658.589,5.694,632.751,48.496,159.035,1016.283,11621.461,59.011,44.969,0.129,486.697,41.541,269.806,2453.297,222.45,3475.011,1832.066,3345.89,166.874,Healthy
436.602,319.816,782.492,402.611,8509.512,10492.561,5511.469,62.133,799.756,178.599,439.899,4190.759,6985.393,152.473,142.584,53.807,401.518,133.468,225.621,3155.18,219.055,4087.47,2963.829,2681.368,331.949,Healthy
49.159,21.423,65.969,295.764,6910.787,7941.887,4915.948,6.335,721.971,136.009,534.32,23370.065,7873.055,120.486,127.113,0.232,422.444,463.447,247.384,1998.615,124.083,3661.362,1406.931,2189.709,152.959,Healthy
173.545,97.707,281.71,340.082,9567.124,10889.737,4656.302,22.379,716.301,194.153,795.362,4546.015,10002.944,231.885,193.988,1.633,361.598,473.211,277.25,2510.284,317.745,3833.215,1790.447,1629.232,185.292,Healthy
21.989,12.198,16.184,154.655,8588.258,10205.212,4305.404,13.132,636.352,59.866,272.218,2344.513,9426.26,71.138,57.062,1.289,163.295,142.979,172.383,2766.84,109.438,2836.192,2117.581,2502.054,186.768,Healthy
54.711,18.48,7.666,367.803,7338.893,7805.904,5302.404,3.821,875.599,60.496,242.493,8937.055,7156.454,71.382,56.949,0.35,559.463,66.027,314.355,2883.479,279.638,3944.395,1190.824,2347.968,204.764,Healthy
10.097,6.97,10.437,360.457,6263.946,6032.255,4847.539,2.135,742.333,42.623,140.028,2487.023,10005.66,43.494,39.135,0,390.179,24.163,240.816,2130.465,140.174,3621.775,1511.453,3527.43,173.732,Healthy
76.551,45.973,127.701,417.748,8962.788,8032.627,5678.889,2.85,879.614,98.941,303.834,4405.547,8951.643,101.075,95.274,0.471,648.804,102.004,383.811,3118.37,287.186,4890.589,1166.317,3341.339,207.159,Healthy
43.832,18.4925,64.1235,188.634,8540.2735,10636.322,5674.9525,5.0205,770.43,73.319,307.413,1473.714,9303.5515,64.0865,67.6745,0.237,292.273,95.8225,202.4295,2289.817,102.445,3809.8135,2741.3115,3114.81,212.6965,Healthy
18.524,13.859,34.651,313.502,8387.702,8596.13,5718.789,1.604,825.274,61.668,251.026,3604.367,8965.933,73.026,59.827,0.397,488.828,44.007,304.258,2366.953,434.948,4225.215,2209.718,2279.629,185.673,Healthy
22.624,13.366,6.962,271.452,7694.881,13429.521,5268.587,1.959,764.613,48.132,254.876,4983.782,8844.617,38.462,45.088,0.577,331.924,125.425,209.608,2887.654,103.42,4351.013,5603.226,2169.811,214.224,Healthy
41.289,16.08,53.057,306.088,8358.665,11613.174,6271.187,4.099,847.041,70.241,274.547,1275.808,7644.623,64.867,65.234,0,453.647,141.992,307.711,2240.32,182.694,4867.274,3518.881,2191.963,218.555,Healthy
33.373,21.154,7.28,320.329,9633.036,10036.879,4453.355,3.395,603.737,42.845,148.822,7713.949,10246.241,54.242,38.858,0,348.979,63.648,187.263,2366.226,208.344,3567.684,1385.646,2789.279,159.493,Healthy
35.878,8.887,20.428,258.351,10234.297,11784.048,6461.284,4.951,920.976,41.911,183.28,7423.293,9344.969,38.226,37.874,0,341.773,32.955,192.488,3146.879,99.522,4214.51,2240.959,2638.74,218.582,Healthy
57.077,21.853,42.31,439.393,5046.119,7318.41,5057.476,2.683,737.244,61.463,203.162,10290.023,10447.011,63.323,58.39,0.764,433.788,77.029,216.795,1644.968,212.871,3430.046,1838.567,2563.721,164.129,Healthy
65.884,28.997,12.423,353.07,4972.043,5906.463,4411.811,3.287,628.568,41.012,122.853,9084.083,10368.431,52.48,39.57,0,506.169,35.802,265.633,1443.31,213.916,3387.247,641.711,3287.177,106.913,Healthy
181.889,301.062,176.852,473.968,13966.17,17744.304,5974.352,32.576,867.52,265.678,786.584,3149.574,8025.318,254.18,271.335,2.082,401.119,346.451,302.889,5594.949,1566.224,5499.143,5962.542,2507.276,610.475,Healthy
15.708,8.362,43.987,383.793,11344.485,12879.505,6192.625,3.009,849.13,20.793,97.213,3325.681,10202.603,23.563,20.598,1.307,444.525,24.559,288.258,2919.66,114.43,5919.886,2637.95,2119.698,155.051,Healthy
13.845,8.986,26.717,288.084,10823.651,11725.379,4913.271,5.434,591.796,45.382,166.094,1263.905,8381.448,39.414,40.916,2.492,189.309,82.256,117.866,2890.744,54.301,3730.135,3222.809,3200.549,164.333,Healthy
90.976,54.748,146.408,605.213,10437.588,10380.906,7107.636,8.76,1023.447,184.953,712.604,7531.069,6987.875,194.682,176.895,0.276,642.278,234.772,377.5,3198.76,312.804,6105.794,1826.998,3384.393,264.95,Healthy
19.252,19.024,24.403,175.35,12729.268,12708.464,6809.725,4.373,857.509,84.535,373.627,3134.188,8649.377,105.558,79.655,0,318.499,68.526,250.684,3413.399,559.465,5784.362,2670.466,3266.819,230.173,Healthy
90.644,33.438,64.317,569.001,11301.817,16630.499,8779,7.325,1631.026,76.897,370.075,2658.219,5551.897,86.993,76.109,0,569.758,117.789,383.631,2105.875,382.144,5994.149,3914.026,2221.449,192.885,Healthy
42.549,26.524,43.502,439.285,9563.124,9352.857,5129.484,5.97,732.252,106.539,429.353,4977.392,11903.309,122.024,105.014,0.097,369.799,237.554,202.064,2263.38,293.309,4045.579,1587.319,2963.768,177.381,Healthy
27.869,13.749,34.891,265.672,8550.497,13281.728,5349.373,7.029,776.751,79.605,392.553,1382.63,11106.221,91.538,77.213,0.087,439.18,147.82,306.073,2093.703,238.509,4603.59,4606.074,1410.657,159.913,Healthy
201.877,69.243,40.624,539.649,8806.905,10731.652,4943.552,4.772,838.948,87.446,440.749,6057.423,7851.931,87.833,86.111,0,847.671,129.405,426.092,1804.268,309.631,4093.077,2249.94,1627.04,139.287,Healthy
66.291,27.514,54.2,386.371,9148.369,9894.746,5412.646,2.689,718.07,38.592,175.289,4191.306,9995.312,41.554,37.331,0,576.373,68.676,350.364,2316.662,195.874,4290.115,2438.228,1742.2,143.652,Healthy
15.404,9.386,32.081,324.25,6727.729,12210.327,8214.661,0.986,1572.467,44.826,191.857,2284.842,5287.101,44.632,45.776,0,506.276,142.383,368.054,1073.141,199.146,5294.789,4085.284,1701.176,103.842,Healthy
36.241,14.494,9.997,245.824,7888.664,8378.602,4912.533,2.029,730.985,45.544,232.597,2427.041,8458.29,44.466,45.116,0,433.147,55.37,262.819,1492.775,136.479,3446.914,1332.146,1568.388,115.023,Healthy
139.643,261.123,251.988,372.035,8973.618,9312.058,5371.9,17.376,673.096,200.177,833.364,1608.569,7385.699,262.249,211.386,0.787,525.2,211.348,337.637,3589.786,858.646,5141.078,1731.162,2659.55,262.16,Healthy
48.139,39.908,37.402,337.758,5115.426,5042.031,6600.445,2.202,931.712,56.711,135.545,3134.793,6360.281,56.05,54.926,0.33,515.45,49.803,307.437,1355.718,254.581,4487.827,1203.843,2762.346,204.026,Healthy
59.922,26.771,26.675,457.05,10511.06,11297.899,7469.309,10.092,1045.497,59.843,243.83,3640.784,9074.197,76.629,56.638,0,537.973,38.075,285.671,3140.703,268.988,5237.725,2492.982,3242.416,245.543,Healthy
11.818,14.455,11.032,153.529,11689.9,11773.354,7625.639,5.159,1004.371,141.908,616.135,3202.529,10626.731,136.428,129.361,0.099,307.543,132.939,251.304,3648.309,37.304,5888.293,1872.702,3145.917,231.69,Healthy
19.965,9.136,7.668,230.073,6470.262,9070.546,7957.548,3.498,1416.665,65.252,262.565,5481.977,5442.667,51.515,67.874,0.116,425.472,72.974,258.507,1183.24,169.862,4318.581,1883.552,2032.221,143.054,Healthy
376.769,192.144,406.109,991.847,7014.905,9527.307,9720.817,10.33,2392.833,89.576,287.628,5600.125,4446.834,93.522,85.705,0,946.735,98.813,632.177,1347.481,482.035,7003.909,1972.26,2087.784,159.148,Healthy
14.995,11.589,7.82,480.207,8645.322,10551.29,12123.634,0.517,2159.415,47.892,186.705,3209.988,4639.816,42.157,48.186,0,787.451,78.463,543.464,1577.72,321.415,6949.689,2787.963,2654.153,210.155,Healthy
85.264,36.204,295.431,463.405,7087.116,8710.788,6165.871,2.024,911.639,61.886,283.271,4096.086,9249.528,67.391,57.658,0.095,649.48,105.857,354.98,2954.303,215.502,4762.642,2679.754,2547.891,286.696,Healthy
129.284,75.05,178.54,631.09,11019.492,11504.963,8004.389,7.387,1310.445,70.397,295.402,12665.02,9983.111,91.77,64.672,0.455,710.252,73.607,395.716,3516.449,215.176,5516.751,1840.923,3044.889,247.603,Healthy
39.613,29.781,36.725,293.622,8217.094,9132.358,5448.506,11.065,748.938,135.623,492.538,4323.461,7447.113,127.726,126.08,4.926,322.427,193.862,193.516,2532.567,188.679,3960.781,2541.637,2584.049,283.652,Healthy
219.736,153.266,332.614,668.316,9379.596,8950.767,6001.458,3.552,870.983,122.929,400.705,2988.681,5074.628,117.826,110.068,0.404,834.146,132.165,410.99,3345.543,279.179,5320.451,1487.647,3621.566,308.573,Healthy
89.933,47.963,65.874,656.565,9369.505,10497.414,6360.444,2.589,873.723,150.193,536.119,1604.436,4282.305,145.44,140.499,0.104,825.451,210.041,402.688,3813.814,531.013,5279.688,2757.325,3364.641,297.903,Healthy
24.829,18.84,27.732,467.545,11312.24,9898.803,6548.752,5.028,869.238,92.554,329.346,7941.435,6996.31,102.331,86.76,0,353.273,62.911,204.091,3470.893,206.651,5483.265,1406.499,4187.788,286.083,Healthy
92.343,42.864,83.594,517.615,8525.886,9196.089,6122.024,1.794,878.36,143.263,521.662,2900.685,7527.566,141.587,133.144,0.211,645.285,254.564,326.685,2805.706,277.937,5164.025,1822.929,3603.228,207.746,Healthy
46.152,36.097,51.174,556.889,7323.897,6642.187,7750.67,5.901,1438.759,110.467,368.173,12699.204,9443.309,105.692,108.936,0,862.591,157.155,499.04,1961.88,188.19,5458.518,1337.161,2237.766,191.804,Healthy
97.895,104.704,184.512,660.735,9390.273,8890.357,8260.693,7.538,1374.599,92.104,322.22,2575.19,6889.19,80.501,92.371,0,862.721,139.911,514.887,2047.8,248.771,5201.594,2849.015,2287.92,244.557,Healthy
73.036,76.437,175.031,506.358,9144.956,9515.688,7236.749,2.852,1228.486,55.07,172.422,2724.772,7260.283,57.567,53.512,0.105,701.926,70.486,468.311,1856.247,252.639,5703.448,2975.961,1882.991,223.077,Healthy
29.797,32.533,61.903,272.926,7758.63,8458.077,7452.126,3.667,1233.085,42.72,127.912,3438.913,6143.591,43.296,45.546,0,504.017,93.683,358.999,1840.48,149.378,5374.357,2953.466,2360.111,162.087,Healthy
47.197,28.675,201.207,224.168,10431.614,12350.383,6371.855,2.543,886.611,119.549,453.983,951.705,10723.545,106.948,112.083,1.32,339.612,288.489,246.617,2267.711,285.533,5034.059,2912.034,3995.422,230.786,Healthy
158.625,108.589,147.626,447.861,7190.687,7183.691,5029.339,12.262,961.134,84.831,244.237,3070.249,8668.747,102.018,82.649,0.092,631.763,102.912,338.819,2293.675,560.811,3950.126,1096.718,2802.011,211.5,Healthy
22.514,20.808,50.024,388.227,9611.349,8562.713,6915.497,5.523,1030.224,117.077,429.579,5309.607,7029.686,113.099,111.59,0,404.676,93.114,250.669,3254.659,276.273,5799.491,1447.846,4634.911,255.619,Healthy
18.317,9.131,21.286,398.532,8210.321,11514.583,8233.061,4.247,1458.089,41.847,161.182,6617.614,11843.8,43.425,40.757,0,572.525,45.083,355.628,2779.425,266.796,6168.884,3131.327,3715.779,221.173,Healthy
36.523,22.679,118.342,443.357,10519.016,13296.322,7464.894,13.44,1068.612,118.055,457.052,1725.501,10061.586,119.989,110.563,0.336,400.419,120.364,214.185,2142.204,239.076,5203.33,3198.178,3089.901,268.985,Healthy
